OBS,INTRATE,INFL,PROD,UNEMPL,COMMPRI,PCE,PERSINC,HOUST
1962:6,2.68,1.23995,7.71031,3.08835,3.4,5.74275,2.84419,1.5919
1962:7,2.71,1.00267,7.50858,2.99873,1.37525,6.09792,2.89593,8.61423
1962:8,2.93,1.1356,6.6516,2.8362,-8.62069,6.07122,3.00808,15.625
1962:9,2.9,1.46765,7.44926,2.9216,-15.76994,7.07451,2.9436,-7.3478
1962:10,2.9,1.33422,5.53736,2.78603,-20.9009,5.79251,2.34573,8.33922
1962:11,2.94,1.33422,4.36192,2.39848,-9.24855,6.22146,1.76733,17.11191
1962:12,2.93,1.23292,3.45944,2.10858,-15.98579,6.00737,1.65456,14.57875
1963:1,2.92,1.33156,5.12534,2.2317,-15.0613,5.99378,2.66613,-8.59662
1963:2,3,1.22883,4.61392,1.88994,-5.48446,5.44429,1.55809,13.92801
1963:3,2.98,1.12695,4.69586,1.89232,-16.37324,4.88963,1.32498,6.30631
1963:4,2.9,0.89374,5.43139,1.75893,2.61194,4.78309,1.38522,10.82677
1963:5,3,0.89286,6.8234,1.77791,29.03846,4.16552,1.70714,10.65408
1963:6,2.99,1.32406,7.37173,1.8223,13.53965,5.8742,2.18036,13.10541
1963:7,3.02,1.55526,5.926,1.87996,18.21705,6.35535,1.87095,11.31034
1963:8,3.49,1.55218,6.02527,1.91984,25.36688,6.41167,2.23218,8.04219
1963:9,3.48,0.98619,6.40762,1.96509,27.31278,4.49499,2.93953,33.1571
1963:10,3.5,1.21791,7.03029,2.21802,75.17084,5.28466,3.13049,16.04697
1963:11,3.48,1.31666,7.10565,2.13893,40.55202,4.75551,2.9475,0
1963:12,3.38,1.64582,6.89659,2.37738,36.15222,5.6402,3.29496,-4.66752
1964:1,3.48,1.64258,7.05405,2.44315,23.71134,5.97493,2.99155,28.85852
1964:2,3.48,1.41076,6.56405,2.70496,16.24758,7.19636,3.92687,25
1964:3,3.43,1.40937,5.91247,2.7982,27.57895,7.19233,5.92011,-1.10821
1964:4,3.47,1.54199,6.66669,2.37186,18.90909,7.05945,6.01801,-14.2688
1964:5,3.5,1.54048,5.98784,2.60174,-10.13413,8.31568,6.23325,-10.60329
1964:6,3.5,1.30676,5.96997,2.75866,0.34072,7.79901,6.0171,-2.39295
1964:7,3.42,1.07527,7.09293,2.85065,-0.16393,7.95012,6.30249,-3.22181
1964:8,3.5,0.97561,7.57727,3.00299,3.17726,8.17171,6.48771,-4.2709
1964:9,3.45,1.17188,6.91034,3.19919,12.11073,8.11091,6.1469,-17.47022
1964:10,3.36,1.20325,4.70567,2.63599,-10.53316,8.71928,5.48242,-14.3339
1964:11,3.52,1.39701,7.41464,3.42677,3.47432,6.92485,5.89646,-8.38471
1964:12,3.85,1.19819,8.89537,3.5931,8.07453,6.68016,6.09531,-0.46948
1965:1,3.9,1.0989,9.1084,3.64604,17.83333,6.97206,5.94727,-15.09669
1965:2,3.98,1.19702,9.04703,3.54799,7.8203,7.81133,5.65244,-21.26374
1965:3,4.04,1.19586,10.49068,3.6357,6.43564,7.82803,3.58399,-6.19644
1965:4,4.09,1.38934,9.1854,4.03474,5.04587,8.47794,3.21067,-0.69061
1965:5,4.1,1.61394,9.41628,4.13676,16.08624,7.13936,3.77568,0.74983
1965:6,4.04,1.93486,9.95298,4.24074,24.27844,5.80238,3.53707,-4
1965:7,4.09,1.80529,10.26125,4.36547,17.89819,6.28159,4.25281,-2.11268
1965:8,4.12,1.61031,10.00925,4.45078,14.26256,6.38298,4.16697,-8.73168
1965:9,4.01,1.73745,9.87973,4.39197,2.31481,8.48514,6.61926,1.85567
1965:10,4.08,1.70308,12.54696,4.9733,-0.2907,9.2575,6.02702,-4.72441
1965:11,4.1,1.73021,9.62753,4.6946,3.06569,10.26625,6.21849,-1.74966
1965:12,4.32,1.92,9.69479,4.88043,-3.73563,9.6537,5.63646,11.5903
1966:1,4.42,1.91816,9.59147,4.94268,7.35502,9.6,5.54832,0.66128
1966:2,4.6,2.55754,9.62066,5.01003,24.84568,9.00463,5.91472,-3.8381
1966:3,4.65,2.77866,9.66891,5.31473,32.86822,9.63356,5.91592,-2.03795
1966:4,4.67,2.86807,9.36686,5.27224,22.12518,9.14077,5.42043,-5.98053
1966:5,4.9,2.76366,9.55241,5.32136,19,8.12414,4.46033,-14.41137
1966:6,5.17,2.43594,9.22289,5.6352,11.3388,9.27031,4.78845,-19.75806
1966:7,5.3,2.75491,8.79852,5.47545,11.00279,8.96739,4.11473,-28.97319
1966:8,5.53,3.48653,8.42467,5.35539,12.76596,8.7191,4.12022,-21.85754
1966:9,5.4,3.57369,9.15984,5.12929,11.16139,8.24127,1.89756,-29.4197
1966:10,5.53,3.79147,8.81857,5.08118,2.47813,6.51274,2.90106,-41.94215
1966:11,5.76,3.55906,7.62205,4.87443,1.84136,6.74353,2.58668,-34.17808
1966:12,5.4,3.3595,6.54677,4.61963,0.89552,6.55419,2.07119,-40.21739
1967:1,4.94,3.1995,6.00818,4.60434,-3.95257,6.24732,2.995,-22.11679
1967:2,5,2.86783,4.13063,4.19135,-23.60939,4.84179,2.8093,-18.50508
1967:3,4.53,2.54817,2.14574,3.69984,-36.9895,4.39353,3.27355,-24.24677
1967:4,4.05,2.54027,2.94568,3.20165,-32.89631,5.12982,3.55333,-19.30473
1967:5,3.94,2.31839,1.08551,2.99477,-32.65306,6.16294,3.61982,3.083
1967:6,3.98,2.84126,0.59891,2.5581,-28.34356,6.57287,3.56704,4.52261
1967:7,3.79,2.92758,-0.17672,2.46652,-19.82434,5.44472,3.63921,25.59853
1967:8,3.9,2.60337,1.65672,2.53461,-15.09434,5.51881,3.46253,25.73727
1967:9,3.99,2.59542,0.55412,2.35134,2.03528,5.38885,2.8743,35.85086
1967:10,3.88,2.58752,0.67564,2.11398,11.94879,4.88753,2.46939,76.86833
1967:11,4.13,3.10219,2.82309,2.59001,16.55076,5.58386,2.62205,60.04162
1967:12,4.51,3.28068,3.69076,2.60736,17.75148,6.73975,3.62158,32.12121
1968:1,4.6,3.64742,3.093,2.13739,6.99588,7.39543,2.71493,29.33458
1968:2,4.71,3.63636,4.64923,2.73125,23.46278,8.20336,3.291,35.35174
1968:3,5.05,3.93939,5.57107,2.69342,40.92593,9.72614,3.48016,38.82576
1968:4,5.76,3.92749,4.73607,3.18939,26.99822,8.46445,3.95372,42.43813
1968:5,6.11,4.22961,6.84295,3.09971,23.35116,9.42346,4.13392,7.97546
1968:6,6.07,4.2042,7.2489,3.27605,20.54795,9.71429,4.18834,12.58013
1968:7,6.02,4.49102,7.32901,3.39672,5.00782,11.11549,3.53767,10.85044
1968:8,6.03,4.47761,5.60507,3.30501,10.07407,11.18511,3.30081,6.25444
1968:9,5.78,4.46429,6.17723,3.51097,-3.7234,10.16851,3.29901,9.50035
1968:10,5.91,4.74777,5.52866,3.76746,-10.03812,11.5812,3.69689,5.23139
1968:11,5.82,4.42478,5.38655,3.42114,-17.06444,11.44567,3.45684,5.98179
1968:12,6.02,4.70588,4.59288,3.50673,-3.51759,9.77558,2.89846,18.34862
1969:1,6.3,4.69208,5.33904,3.94132,-1.15385,9.91533,2.57839,28.18841
1969:2,6.61,4.67836,5.63462,3.69709,4.32503,10.35193,1.84089,12.17105
1969:3,6.79,5.24781,6.13162,3.87845,4.3364,8.22169,1.05935,6.48022
1969:4,7.41,5.52326,5.58813,3.72585,10.20979,9.19941,0.64237,-1.9305
1969:5,8.67,5.50725,4.02247,3.954,14.59538,9.21148,1.40783,12.42898
1969:6,8.9,5.4755,4.6541,4.02333,14.91477,8.06394,1.69395,8.75445
1969:7,8.61,5.44413,5.36809,3.82239,20.56632,7.0415,2.66878,-9.52381
1969:8,9.19,5.42857,5.31648,3.91933,13.59354,7.61099,3.24605,-9.16388
1969:9,9.15,5.69801,4.89562,3.54812,14.91713,7.96414,3.48571,-3.1491
1969:10,9,5.66572,4.71836,3.49243,20.48023,8.22995,3.43212,-11.98215
1969:11,8.85,5.9322,2.40673,3.04704,17.69784,7.62037,3.18974,-24.60123
1969:12,8.97,5.89888,1.81025,2.87959,7.03125,8.05613,3.01216,-14.27649
1970:1,8.98,6.16246,-0.67584,2.50295,4.53956,7.77131,3.73247,-38.66591
1970:2,8.98,6.42458,-1.37254,2.30129,-6.40704,7.70144,4.0134,-23.46041
1970:3,7.76,6.09418,-2.26684,2.213,-14.60957,7.37663,4.1614,-15.50288
1970:4,8.1,6.06061,-2.15817,1.82098,-4.69543,7.11283,5.5043,-17.06037
1970:5,7.94,6.04396,-1.90142,1.13042,-1.26103,7.0371,3.75211,-18.50916
1970:6,7.6,6.01093,-3.16469,0.55637,-8.77627,7.56191,2.66642,-9.35864
1970:7,7.21,5.70652,-3.43678,0.45809,-10.5068,7.6222,3.57496,10.89181
1970:8,6.61,5.69106,-3.83011,-0.10281,-18.72038,7.05632,3.25453,3.01915
1970:9,6.29,5.66038,-4.47148,0.04371,-15.14423,7.49064,3.20879,1.79164
1970:10,6.2,5.63003,-6.40981,-0.84505,-20.51583,6.44172,2.36929,14.40985
1970:11,5.6,5.6,-6.09163,-0.95376,-16.74817,5.82556,2.03832,34.01139
1970:12,4.9,5.57029,-3.67612,-0.63167,-21.53285,6.87831,2.26953,42.6526
1971:1,4.14,5.27704,-1.10397,-0.43554,-19.23077,7.56036,3.31811,68.47926
1971:2,3.72,4.72441,-1.2273,-0.69842,-13.28859,7.16648,3.15367,33.40996
1971:3,3.71,4.43864,-1.20614,-0.82993,-1.17994,7.86481,3.13428,44.80667
1971:4,4.15,4.15584,-0.39521,-0.43589,-5.7257,8.28885,2.07847,57.12025
1971:5,4.63,4.40415,0.22678,0.17435,-8.55683,7.58471,2.98957,58.83721
1971:6,4.91,4.38144,0.97375,0.31536,5.82656,8.28183,5.47282,46.28159
1971:7,5.31,4.37018,0.43426,0.36874,0.27624,7.75982,2.31893,37.31048
1971:8,5.56,4.35897,0.02982,0.61607,5.53936,7.96758,2.52156,54.25304
1971:9,5.55,4.08163,2.36103,0.94294,-25.92068,8.18058,2.63346,33.05085
1971:10,5.2,3.80711,5.23235,1.59248,-23.74631,8.73654,3.51056,34.68354
1971:11,4.91,3.53535,6.32302,2.04093,-20.85169,9.80839,4.06719,32.4833
1971:12,4.14,3.26633,5.13555,1.86184,0.93023,9.45095,4.39048,21.23613
1972:1,3.5,3.25815,6.83873,2.22815,21.8126,8.18074,2.18621,36.43326
1972:2,3.29,3.7594,8.05876,2.60712,14.70588,8.36273,2.63902,37.27743
1972:3,3.83,3.5,8.97532,2.94387,10.29851,9.86823,2.62168,22.19895
1972:4,4.17,3.49127,9.49161,2.99281,3.67232,9.27805,2.48797,13.2427
1972:5,4.27,3.22581,8.8828,3.11592,-0.27933,9.67928,2.82671,8.39434
1972:6,4.46,2.96296,8.71351,3.51845,-10.11524,8.8613,0.993,11.2537
1972:7,4.55,2.95567,8.98894,3.35554,-2.75482,10.18717,3.23351,8.1133
1972:8,4.8,2.9484,11.08177,3.87838,-3.1768,10.15581,3.6487,10.37998
1972:9,4.87,3.18627,10.14216,3.69465,29.63671,9.57849,3.77643,21.55806
1972:10,5.04,3.17848,10.82484,4.23076,39.26499,11.07546,5.99723,16.77632
1972:11,5.06,3.41463,11.61519,4.34401,38.21892,11.03725,6.85958,10.95325
1972:12,5.33,3.40633,11.60958,4.38509,19.81567,10.67708,6.55512,3.09368
1973:1,5.94,3.64078,9.70719,4.38402,4.53972,11.64346,6.61438,-0.52125
1973:2,6.58,3.86473,10.31674,4.63167,18.48853,12.19314,6.8067,-4.22594
1973:3,7.09,4.83092,9.56013,4.57879,21.7862,11.16738,6.85646,1.32819
1973:4,7.12,5.3012,8.25437,4.49954,20.29973,11.06394,6.89339,-7.33659
1973:5,7.84,5.52885,9.00275,4.32711,25.07003,11.05111,6.33466,2.02611
1973:6,8.49,5.9952,8.78738,4.23943,24.78632,10.86643,6.39386,-8.29636
1973:7,10.4,5.74163,9.29423,4.34553,-1.41643,10.95695,5.81297,-5.72824
1973:8,10.5,7.39857,7.66619,4.08428,22.82454,9.92671,4.52765,-13.89589
1973:9,10.78,7.36342,7.82148,4.0572,35.84071,11.29712,4.66038,-24.46594
1973:10,10.01,8.05687,7.09372,3.92779,29.02778,9.23019,3.04153,-32.51509
1973:11,10.03,8.25472,6.41258,3.9284,31.00671,9.57845,2.06603,-28.78976
1973:12,9.95,8.94118,4.94796,3.67344,20.76923,8.78019,1.26909,-35.50296
1974:1,9.65,9.60187,3.51115,3.28348,14.95778,8.37511,1.10883,-41.51552
1974:2,8.97,10,1.67359,2.94276,6.60592,7.7853,-0.40838,-23.46003
1974:3,9.35,10.13825,1.63533,2.63617,4.44444,8.28339,-1.45269,-34.24947
1974:4,10.51,10.06865,1.51808,2.52044,5.88901,9.01816,-1.69255,-22.88868
1974:5,11.31,10.70615,1.60822,2.48023,3.35946,9.63112,-1.93759,-37.06973
1974:6,11.93,10.85973,1.44543,2.23055,1.14155,9.94325,-2.26496,-26.80213
1974:7,12.92,11.53846,1.01031,2.24155,29.88506,9.82821,-1.97344,-38.01225
1974:8,12.01,10.88889,0.21898,1.88295,0,11.89613,-2.14167,-44.31984
1974:9,11.34,11.9469,-0.61353,1.72757,-12.05212,9.86336,-2.78904,-38.63394
1974:10,10.06,11.84211,-1.6633,1.3182,-18.51453,10.48517,-3.1898,-36.19559
1974:11,9.45,12.20044,-5.37776,0.44794,-27.2541,9.0371,-3.84229,-40.48724
1974:12,8.53,12.09503,-8.47572,-0.4844,-31.31635,9.69945,-3.46219,-36.10747
1975:1,7.13,11.75214,-9.08949,-1.03324,-43.2319,10.26625,-2.84599,-28.87664
1975:2,6.24,11.20507,-10.93077,-1.70598,-47.86325,11.18214,-2.0341,-48.40183
1975:3,5.54,10.46025,-11.8841,-2.10356,-54.57447,9.88597,-1.22389,-36.14148
1975:4,5.49,10.18711,-11.51573,-2.45082,-54.4385,9.25824,0.73009,-37.46111
1975:5,5.22,9.25926,-12.36068,-2.44949,-50.81257,10.48361,6.61536,-21.3885
1975:6,5.55,9.18367,-11.68301,-2.64879,-50.3386,10.66781,3.01159,-28.15598
1975:7,6.1,9.53347,-10.73194,-2.37299,-41.37168,10.89594,0.90865,-6.83891
1975:8,6.14,8.61723,-9.04823,-1.86215,-20.09292,9.70102,2.02987,10.33275
1975:9,6.24,7.90514,-7.9719,-1.75675,-9.1358,10.49331,2.49054,9.91304
1975:10,5.82,7.64706,-7.25017,-1.39134,-0.5284,10.63476,2.40424,25.60748
1975:11,5.22,7.37864,-3.83546,-0.74239,-0.28169,12.5261,2.84709,32.55361
1975:12,5.2,7.12909,0.89754,0.46486,-0.46368,13.5741,2.90429,35.48718
1976:1,4.87,6.69216,3.80987,1.5641,29.7597,13.51545,3.60112,32.46124
1976:2,4.77,6.27376,7.28389,2.46753,50,11.98426,4.19122,70.13274
1976:3,4.84,6.06061,8.54304,3.13116,74.00468,12.56297,4.42756,43.10171
1976:4,4.82,5.84906,9.0172,3.70254,78.16901,13.09667,2.59087,38.80597
1976:5,5.29,6.21469,9.76929,3.50809,71.80617,10.1743,-2.96421,30.15165
1976:6,5.48,5.98131,9.02601,3.73236,82.04545,11.05821,0.5412,37.5345
1976:7,5.31,5.55556,8.50289,3.61865,58.86792,10.545,2.67443,14.27406
1976:8,5.29,5.71956,8.27352,3.30374,6.5407,10.587,2.19326,23.01587
1976:9,5.25,5.49451,7.24371,3.44685,-4.07609,10.80212,1.91618,36.07595
1976:10,5.02,5.46448,6.84577,3.05668,-10.88977,10.93868,1.37666,21.20536
1976:11,4.95,5.06329,8.12801,3.29171,-1.55367,10.54731,2.34074,20.66176
1976:12,4.65,5.03597,7.91395,3.11467,17.70186,10.9375,2.52298,36.56321
1977:1,4.61,5.19713,5.78198,2.7845,11.68091,9.7251,1.45628,11.70446
1977:2,4.68,6.08229,6.37315,2.75448,4.91803,11.13413,-0.03172,26.3329
1977:3,4.69,6.42857,7.58915,2.96272,8.88291,11.04448,1.13379,45.17945
1977:4,4.73,6.95187,7.94488,3.07345,3.82082,10.80865,1.34971,35.62724
1977:5,5.35,6.73759,8.36953,3.50267,-2.94872,11.95449,1.44561,35.09253
1977:6,5.39,6.70194,9.17338,3.92058,-10.2372,10.7971,1.85234,26.62207
1977:7,5.42,6.66667,8.71866,4.13466,-18.05226,11.37922,1.97983,46.89507
1977:8,5.9,6.63176,7.99398,4.22814,-3.95634,11.02973,2.2354,30.32258
1977:9,6.14,6.42361,8.18618,4.55615,-7.36544,10.75636,2.76771,13.31395
1977:10,6.47,6.39033,8.40187,4.86703,-3.87481,11.42857,3.66861,25.35298
1977:11,6.51,6.71256,6.90698,4.90547,-11.04735,11.60527,3.59269,24.43632
1977:12,6.56,6.67808,5.95613,4.92243,-11.34565,10.31217,3.73827,18.73614
1978:1,6.7,6.81431,5.08634,4.83691,-9.31122,9.49565,3.66179,12.50819
1978:2,6.78,6.23946,4.04169,4.88961,-3.125,10.14833,5.16603,-10.55069
1978:3,6.79,6.37584,4.69798,5.00055,-10.63041,11.34037,4.46866,-1.50267
1978:4,6.89,6.5,5.92657,5.42525,-0.1269,12.04289,4.4634,16.12051
1978:5,7.36,7.14286,5.39442,5.3844,8.05812,12.4087,4.24901,5.27651
1978:6,7.6,7.43802,5.34468,5.41048,14.46453,12.91163,3.75648,9.35024
1978:7,7.81,7.73026,5.12717,5.27428,20.28986,11.50249,3.51717,1.65209
1978:8,8.04,7.85597,5.49066,5.30491,21.30682,12.61156,3.47996,-1.18812
1978:9,8.45,8.48287,5.28945,4.89154,32.72171,12.29382,2.93847,1.07748
1978:10,8.96,8.92857,5.89272,4.96456,34.57364,11.9227,2.5589,-2.98727
1978:11,9.76,8.87097,6.59459,5.01111,35.64516,11.63158,1.85503,2.54652
1978:12,10.03,8.98876,7.05003,5.05284,25.74405,12.03614,2.02543,-4.57516
1979:1,10.07,9.2504,7.80458,4.98256,20.67511,13.00075,2.78957,-5.12224
1979:2,10.06,9.84127,7.86224,4.83355,16.26344,11.97292,2.59943,-12.54315
1979:3,10.09,10.25237,6.22235,4.70273,21.30014,11.11915,2.06638,-9.10433
1979:4,10.01,10.48513,2.91978,3.77772,9.65693,10.14855,0.93621,-20.43696
1979:5,10.24,10.69767,3.36189,3.79382,6.23472,10.36796,0.55375,-9.59036
1979:6,10.29,11.07692,2.64002,3.63193,7.77643,10.47699,0.30462,-7.58454
1979:7,10.47,11.45038,2.50967,3.45164,12.16867,11.13363,0.55716,-15.86998
1979:8,10.94,11.83612,1.46016,3.21898,0.23419,11.62646,0.2728,-10.92184
1979:9,11.43,11.8797,1.30133,3.08955,-2.07373,12.43737,0.20354,-7.00508
1979:10,13.77,12.07154,1.02246,2.87423,-1.38249,11.89667,-0.06931,-15.14387
1979:11,13.18,12.59259,0.20332,2.47197,6.06421,11.9216,0.13362,-27.22063
1979:12,13.78,13.25479,-0.26789,2.25548,-0.11834,11.34289,-0.15271,-26.71233
1980:1,13.82,13.86861,0.83689,2.24299,-3.2634,12.96554,0.23599,-17.73006
1980:2,14.13,14.16185,0.32622,2.05269,-2.31214,12.09253,-0.72528,-11.18421
1980:3,17.19,14.59227,-0.32783,1.692,-4.21893,11.557,-1.80938,-43.31348
1980:4,17.61,14.58924,-1.27343,1.60147,-10.19699,10.19257,-1.6133,-39.87414
1980:5,10.98,14.42577,-4.40804,0.6994,-18.52704,9.06124,-1.45366,-50.58635
1980:6,9.47,14.26593,-5.58131,-0.0111,-28.52311,9.07825,-1.07538,-37.4804
1980:7,9.03,13.15068,-6.04374,-0.419,-36.30505,10.13144,-0.89047,-27.89773
1980:8,9.61,12.89009,-5.16392,-0.22149,-21.72897,9.13749,-0.82113,-19.2351
1980:9,10.87,12.76882,-3.73245,-0.12732,-20,8.91276,-0.22295,-19.70524
1980:10,12.81,12.63298,-3.05204,0.00995,-12.14953,10.59538,0.87685,-9.39917
1980:11,15.85,12.63158,-1.27508,0.1899,-14.01345,10.14022,0.8155,-0.91864
1980:12,18.9,12.35371,-0.79536,0.29777,-11.61137,11.06123,1.03113,-1.06809
1981:1,19.08,11.79487,-1.76409,0.2588,-8.07229,10.17278,-0.103,15.36167
1981:2,15.93,11.39241,-2.30231,0.24537,-16.09467,10.77627,0.08885,-7.7037
1981:3,14.7,10.61174,-1.4673,0.23738,-13.57143,11.4284,1.1405,24.73734
1981:4,15.72,10.13597,0.12164,0.47661,-9.41935,12.33304,1.43416,29.40057
1981:5,18.52,9.79192,3.25722,0.96661,-6.49718,12.55061,1.91814,22.97735
1981:6,19.1,9.69697,5.0305,1.54386,11.67192,12.50725,2.29995,-12.62542
1981:7,19.04,10.77482,6.40136,1.96467,12.81619,11.10667,2.91504,-17.9669
1981:8,17.82,10.81731,6.09781,1.63046,-2.08955,11.43294,2.98753,-34.54039
1981:9,15.87,10.96544,3.7369,1.40672,-3.23529,10.31893,2.31888,-38.06934
1981:10,15.08,10.27155,1.75829,0.98242,-23.53723,8.00923,1.31611,-42.67892
1981:11,13.31,9.57944,-1.10036,0.46613,-23.85919,7.76964,1.10305,-44.56954
1981:12,12.37,8.91204,-2.75804,-0.05498,-26.6756,7.24333,0.49321,-38.59649
1982:1,13.22,8.25688,-4.13644,-0.51627,-36.04194,6.54505,1.01144,-45.50743
1982:2,14.78,7.61364,-1.78726,-0.59602,-36.10719,6.98634,1.65713,-30.49759
1982:3,14.68,6.88488,-3.03268,-0.85298,-51.23967,6.09507,1.39846,-28.71363
1982:4,14.94,6.62177,-3.45799,-1.239,-49.1453,6.18616,2.72395,-32.57353
1982:5,14.45,6.91193,-4.65282,-1.29911,-37.46224,6.65728,2.13397,-10.08772
1982:6,14.15,7.18232,-5.39575,-1.77724,-44.0678,5.76219,1.05771,-13.68421
1982:7,12.59,6.55738,-6.30644,-2.27069,-39.01345,6.65056,0.55291,12.00768
1982:8,10.12,5.96529,-7.06383,-2.40482,-40.2439,5.78231,0.38743,11.2766
1982:9,10.31,4.94092,-6.77416,-2.50987,-37.38602,7.14866,0.495,25.57629
1982:10,9.71,5.03212,-6.96152,-2.70738,-28.69565,8.36639,0.28113,34.36426
1982:11,9.2,4.47761,-6.27788,-2.61925,-36.13014,9.24255,0.65461,63.91876
1982:12,8.95,3.82572,-5.91681,-2.33681,-28.5192,8.92005,1.3023,43.18681
1983:1,8.68,3.70763,-2.21934,-1.73794,-10.45082,9.14689,1.4728,88.1376
1983:2,8.51,3.48469,-4.66725,-1.81533,7.50552,7.99941,1.25655,96.18938
1983:3,8.77,3.59029,-3.17917,-1.48399,35.31073,9.09899,1.76768,72.50269
1983:4,8.8,4,-1.1328,-0.87186,55.7423,10.09274,0.96251,60.52345
1983:5,8.63,3.44108,0.17041,-0.51494,45.65217,10.02493,1.73631,73.26829
1983:6,8.98,2.47423,1.07178,0.17582,55.30303,11.24768,2.24418,92.1286
1983:7,9.37,2.35897,2.94234,1.02545,54.90196,11.27175,2.52749,53.08748
1983:8,9.56,2.4565,4.95499,0.85941,77.04082,11.57076,2.39761,82.60038
1983:9,9.45,2.76356,6.90035,2.31434,65.04854,10.91564,3.00367,49.47552
1983:10,9.48,2.75229,8.73419,2.93793,69.02439,10.8462,3.92962,46.20631
1983:11,9.34,3.16327,9.52928,3.47814,82.57373,10.01067,4.41276,30.10204
1983:12,9.47,3.7871,10.87663,3.8955,82.6087,10.63486,4.84962,29.5472
1984:1,9.56,4.29009,10.98836,4.13516,47.36842,11.17839,5.16382,19.60908
1984:2,9.59,4.69388,12.19751,4.76394,45.99589,10.30644,5.76398,33.01942
1984:3,9.91,4.89297,11.81892,4.87036,53.65344,10.31423,5.96011,3.54919
1984:4,10.29,4.55466,11.18605,4.95267,29.31655,10.34143,6.50174,25.74728
1984:5,10.32,4.33468,10.93375,4.97194,3.64842,10.16437,6.30853,-0.11261
1984:6,11.06,4.32596,10.6896,4.95101,4.06504,9.66328,7.10851,6.34737
1984:7,11.23,4.30862,9.39336,4.81203,-3.00633,8.29363,5.90422,-2.96919
1984:8,11.64,4.2957,8.25525,5.43869,-15.41787,8.3276,6.71818,-16.96335
1984:9,11.3,4.28287,6.45788,4.49001,-21.47059,8.6016,6.86357,-0.70175
1984:10,9.99,4.26587,5.4637,4.49311,-25.39683,7.46888,5.52042,-7.28863
1984:11,9.43,4.1543,5.50866,4.47149,-19.23642,8.78333,5.04752,-5.37815
1984:12,8.38,4.04339,5.09578,4.20701,-28.9916,8.01118,4.73968,-4.50237
1985:1,8.35,3.52595,2.78288,3.99253,-26.08696,8.35465,4.19514,-9.80496
1985:2,8.5,3.60624,2.72472,3.58868,-36.99015,9.98713,2.62753,-27.78761
1985:3,8.58,3.79009,2.39483,3.65411,-37.22826,9.04613,1.47714,8.23812
1985:4,8.27,3.5818,1.47857,3.46192,-38.66481,8.35702,2.5019,-1.62075
1985:5,7.97,3.57488,1.14373,3.41445,-22.08,9.11767,4.73124,-5.29876
1985:6,7.53,3.66442,0.86215,3.15414,-33.75,7.9202,1.80921,-9.06131
1985:7,7.88,3.45821,-0.16334,3.01397,-25.61175,9.0142,1.89241,-2.77136
